timestamp,Rm,Rout,Capacitance,Tm,Ai,eta_aux,O_hat,R_hat
2024-12-04 03:00:00,1.0752004299709204,1.0752004299709204,17977.55696863629,26.260544475928512,1e-09,8.30172666176188,0.27879035558276166,"[0.29200565606367046, 6.298086906740538, 8.334761718981714]"
2024-12-04 05:00:00,1.0801811794137692,1.0801811794137692,17977.561899443856,26.26552537813352,1e-09,8.306724731564634,0.3287270934343839,"[0.24361128211274619, 6.248478757025165, 8.285141511276196]"
2024-12-04 07:00:00,1.0850640682065855,1.0850640682065855,17977.566445970857,26.270403522360322,1e-09,8.311728438971445,0.37806162984063046,"[0.19448364065853785, 6.198863179443501, 8.235530933292607]"
2024-12-04 09:00:00,1.0898782104398388,1.0898782104398388,17977.570711703855,26.27521242143575,0.0029056406597935155,8.31663362539266,0.42667893075629704,"[0.1451285907018715, 6.149341817833283, 8.186033845525905]"
2024-12-04 11:00:00,1.0945933903718355,1.0945933903718355,17977.574627089012,26.27992197146998,0.006212888090990587,8.321218475217234,0.4740886638225847,"[0.09532687412703356, 6.099413667513728, 8.136131377485126]"
2024-12-04 13:00:00,1.099200320803786,1.099200320803786,17977.578189269945,26.28452405844393,0.010074368079994924,8.32536807593017,0.5193683547299078,"[0.045715284918540995, 6.049265946151339, 8.086023275424854]"
2024-12-04 15:00:00,1.1036993589724438,1.1036993589724438,17977.581419125992,26.289020396790985,0.014165462033378838,8.3290571617336,0.561608046266772,"[1e-09, 5.999508052058601, 8.036336514048664]"
2024-12-04 17:00:00,1.1081132792827992,1.1081132792827992,17977.58437306975,26.293435772837938,0.017892397142688917,8.332343362655715,0.6010662216839818,"[1e-09, 5.949859279091516, 7.98679064036796]"
2024-12-04 19:00:00,1.1124626494322591,1.1124626494322591,17977.587100728244,26.297792499700517,0.021200931465954198,8.335294274540354,0.6381316203752384,"[1e-09, 5.900293216406722, 7.937362442352936]"
2024-12-04 21:00:00,1.1167545220124815,1.1167545220124815,17977.589627259793,26.30209866095822,0.024153722452429797,8.33796048611375,0.6731139169436314,"[1e-09, 5.850773787969477, 7.888018899526857]"
2024-12-04 23:00:00,1.1211601978418297,1.1211601978418297,17977.592555748226,26.306537330649675,0.02679997822619279,8.340404376321187,0.7062836065041947,"[1e-09, 5.801232673648167, 7.838694170657569]"
2024-12-05 01:00:00,1.1257247921246794,1.1257247921246794,17977.59597515909,26.3111484698665,0.029179320349769597,8.342670610543307,0.7377324310539142,"[1e-09, 5.751845215648231, 7.789569496545988]"
2024-12-06 00:00:00,1.1302935342235394,1.1302935342235394,17977.599395235964,26.315773319339286,0.03207504295539552,8.345269176178585,0.7747264049197153,"[1e-09, 5.713935455342909, 7.751433184594218]"
2024-12-07 00:00:00,1.134852086001394,1.134852086001394,17977.60278451514,26.320397482612748,0.035506015268762715,8.347876295138146,0.8095263912347299,"[1e-09, 5.677337342888027, 7.714657159480678]"
